year,male,female,total
2019,418176,401617,819793
2020,416996,401568,818564
2021,415738,401444,817182
2022,414367,401185,815552
2023,412863,400787,813650
2024,411240,400252,811492
2025,409760,399851,809611
2026,408161,399318,807479
2027,406428,398627,805055
2028,404519,397758,802277
2029,402425,396679,799104
2030,400135,395408,795543
2031,397649,393944,791593
2032,394973,392274,787247
2033,392079,390388,782467
2034,388975,388282,777257
2035,386117,386453,772570
2036,383020,384367,767387
2037,379698,382057,761755
2038,376179,379520,755699
2039,372479,376776,749255
2040,368579,373805,742384
2041,364500,370620,735120
2042,360281,367262,727543
2043,355931,363733,719664
2044,351458,360031,711489
2045,347278,356655,703933
2046,342983,353093,696076
2047,338567,349332,687899
2048,334051,345388,679439
2049,329473,341311,670784
2050,324860,337139,661999
2051,320185,332827,653012
2052,315506,328473,643979
2053,310825,324065,634890
2054,306151,319622,625773
2055,301783,315518,617301
2056,297409,311354,608763
2057,293030,307154,600184
2058,288654,302932,591586
2059,284274,298651,582925
2060,279887,294348,574235
2061,275504,290020,565524
2062,271119,285666,556785
2063,266739,281321,548060
2064,262363,276962,539325
2065,258202,272876,531078
