year,male,female,total
2019,287443,275661,563104
2020,287197,276050,563247
2021,286879,276408,563287
2022,286476,276683,563159
2023,285982,276871,562853
2024,285424,276987,562411
2025,284950,277177,562127
2026,284417,277316,561733
2027,283812,277380,561192
2028,283136,277373,560509
2029,282380,277296,559676
2030,281531,277130,558661
2031,280597,276890,557487
2032,279585,276570,556155
2033,278486,276174,554660
2034,277293,275685,552978
2035,276270,275362,551632
2036,275141,274940,550081
2037,273917,274423,548340
2038,272594,273821,546415
2039,271176,273124,544300
2040,269650,272318,541968
2041,268015,271405,539420
2042,266291,270394,536685
2043,264465,269269,533734
2044,262524,268025,530549
2045,260720,266925,527645
2046,258794,265674,524468
2047,256732,264257,520989
2048,254538,262684,517222
2049,252206,260933,513139
2050,249772,259043,508815
2051,247218,256993,504211
2052,244548,254801,499349
2053,241784,252488,494272
2054,238934,250052,488986
2055,236234,247751,483985
2056,233449,245328,478777
2057,230607,242797,473404
2058,227697,240168,467865
2059,224748,237439,462187
2060,221762,234620,456382
2061,218749,231729,450478
2062,215710,228756,444466
2063,212656,225720,438376
2064,209608,222653,432261
2065,206700,219737,426437
