year,male,female,total
2019,54284,50908,105192
2020,54146,50887,105033
2021,54000,50865,104865
2022,53854,50830,104684
2023,53691,50783,104474
2024,53524,50730,104254
2025,53375,50697,104072
2026,53215,50652,103867
2027,53031,50586,103617
2028,52831,50503,103334
2029,52613,50403,103016
2030,52368,50281,102649
2031,52096,50141,102237
2032,51800,49972,101772
2033,51479,49781,101260
2034,51126,49555,100681
2035,50789,49362,100151
2036,50425,49140,99565
2037,50035,48893,98928
2038,49615,48623,98238
2039,49169,48321,97490
2040,48695,47992,96687
2041,48196,47641,95837
2042,47681,47273,94954
2043,47156,46886,94042
2044,46619,46482,93101
2045,46112,46113,92225
2046,45594,45722,91316
2047,45064,45315,90379
2048,44523,44902,89425
2049,43976,44466,88442
2050,43418,44015,87433
2051,42859,43558,86417
2052,42293,43082,85375
2053,41731,42598,84329
2054,41159,42109,83268
2055,40632,41657,82289
2056,40098,41198,81296
2057,39560,40725,80285
2058,39017,40237,79254
2059,38473,39741,78214
2060,37924,39232,77156
2061,37370,38711,76081
2062,36815,38182,74997
2063,36248,37648,73896
2064,35677,37104,72781
2065,35128,36587,71715
