year,male,female,total
2019,1383437,1429960,2813397
2020,1384201,1433425,2817626
2021,1384589,1436549,2821138
2022,1384542,1439218,2823760
2023,1384008,1441397,2825405
2024,1383002,1443067,2826069
2025,1382241,1444941,2827182
2026,1381034,1446360,2827394
2027,1379353,1447253,2826606
2028,1377075,1447536,2824611
2029,1374196,1447190,2821386
2030,1370657,1446167,2816824
2031,1366482,1444469,2810951
2032,1361656,1442071,2803727
2033,1356182,1438990,2795172
2034,1350042,1435188,2785230
2035,1344527,1432079,2776606
2036,1338301,1428200,2766501
2037,1331420,1423574,2754994
2038,1323943,1418249,2742192
2039,1315851,1412185,2728036
2040,1307157,1405375,2712532
2041,1297941,1397875,2695816
2042,1288232,1389704,2677936
2043,1278064,1380870,2658934
2044,1267442,1371344,2638786
2045,1257589,1362712,2620301
2046,1247289,1353360,2600649
2047,1236470,1343193,2579663
2048,1225203,1332297,2557500
2049,1213476,1320633,2534109
2050,1201381,1308366,2509747
2051,1188876,1295376,2484252
2052,1176026,1281894,2457920
2053,1162898,1267960,2430858
2054,1149504,1253566,2403070
2055,1136880,1240143,2377023
2056,1123967,1226252,2350219
2057,1110804,1212000,2322804
2058,1097391,1197327,2294718
2059,1083765,1182221,2265986
2060,1069937,1166835,2236772
2061,1055936,1151178,2207114
2062,1041748,1135224,2176972
2063,1027443,1119042,2146485
2064,1013013,1102724,2115737
2065,999191,1087315,2086506
