year,male,female,total
2019,1260951,1385253,2646204
2020,1256994,1383964,2640958
2021,1252937,1382452,2635389
2022,1248392,1380350,2628742
2023,1243383,1377647,2621030
2024,1237910,1374328,2612238
2025,1232752,1371329,2604081
2026,1227151,1367763,2594914
2027,1221120,1363637,2584757
2028,1214581,1358879,2573460
2029,1207558,1353516,2561074
2030,1200036,1347530,2547566
2031,1192057,1340945,2533002
2032,1183630,1333751,2517381
2033,1174771,1325990,2500761
2034,1165492,1317643,2483135
2035,1157145,1310385,2467530
2036,1148345,1302513,2450858
2037,1139148,1294054,2433202
2038,1129584,1285008,2414592
2039,1119680,1275399,2395079
2040,1109464,1265227,2374691
2041,1098983,1254559,2353542
2042,1088267,1243408,2331675
2043,1077325,1231757,2309082
2044,1066177,1219626,2285803
2045,1055974,1208697,2264671
2046,1045502,1197175,2242677
2047,1034694,1184914,2219608
2048,1023630,1172123,2195753
2049,1012263,1158710,2170973
2050,1000663,1144858,2145521
2051,988766,1130483,2119249
2052,976635,1115763,2092398
2053,964330,1100784,2065114
2054,951846,1085553,2037399
2055,940066,1071301,2011367
2056,928062,1056688,1984750
2057,915894,1041837,1957731
2058,903537,1026668,1930205
2059,891040,1011250,1902290
2060,878439,995658,1874097
2061,865762,979952,1845714
2062,853005,964042,1817047
2063,840193,947977,1788170
2064,827379,931898,1759277
2065,815170,916712,1731882
