year,male,female,total
2019,165232,161233,326465
2020,164763,161198,325961
2021,164290,161143,325433
2022,163791,161050,324841
2023,163257,160908,324165
2024,162681,160719,323400
2025,162165,160590,322755
2026,161606,160399,322005
2027,160999,160161,321160
2028,160338,159855,320193
2029,159610,159475,319085
2030,158808,159014,317822
2031,157928,158479,316407
2032,156969,157866,314835
2033,155935,157169,313104
2034,154817,156382,311199
2035,153792,155712,309504
2036,152688,154944,307632
2037,151494,154086,305580
2038,150224,153150,303374
2039,148882,152131,301013
2040,147471,151021,298492
2041,145992,149838,295830
2042,144450,148576,293026
2043,142859,147258,290117
2044,141222,145873,287095
2045,139696,144609,284305
2046,138123,143266,281389
2047,136499,141846,278345
2048,134840,140366,275206
2049,133143,138815,271958
2050,131420,137224,268644
2051,129674,135578,265252
2052,127917,133906,261823
2053,126146,132204,258350
2054,124364,130478,254842
2055,122702,128872,251574
2056,121032,127246,248278
2057,119353,125598,244951
2058,117671,123931,241602
2059,115986,122243,238229
2060,114295,120543,234838
2061,112602,118833,231435
2062,110911,117124,228035
2063,109218,115402,224620
2064,107529,113678,221207
2065,105911,112062,217973
