year,male,female,total
2019,1370115,1403012,2773127
2020,1368230,1404484,2772714
2021,1365936,1405538,2771474
2022,1363162,1406043,2769205
2023,1359851,1405959,2765810
2024,1356030,1405308,2761338
2025,1352503,1404907,2757410
2026,1348503,1403939,2752442
2027,1343978,1402400,2746378
2028,1338827,1400149,2738976
2029,1333055,1397182,2730237
2030,1326611,1393484,2720095
2031,1319522,1389034,2708556
2032,1311750,1383824,2695574
2033,1303337,1377855,2681192
2034,1294238,1371099,2665337
2035,1285888,1365166,2651054
2036,1276833,1358418,2635251
2037,1267098,1350854,2617952
2038,1256762,1342536,2599298
2039,1245817,1333444,2579261
2040,1234275,1323572,2557847
2041,1222205,1313008,2535213
2042,1209690,1301795,2511485
2043,1196756,1289934,2486690
2044,1183437,1277454,2460891
2045,1171040,1266066,2437106
2046,1158267,1254031,2412298
2047,1145073,1241257,2386330
2048,1131507,1227791,2359298
2049,1117627,1213747,2331374
2050,1103537,1199307,2302844
2051,1089176,1184293,2273469
2052,1074666,1169047,2243713
2053,1060021,1153564,2213585
2054,1045259,1137880,2183139
2055,1031398,1123260,2154658
2056,1017369,1108382,2125751
2057,1003237,1093329,2096566
2058,988960,1077976,2066936
2059,974573,1062420,2036993
2060,960093,1046650,2006743
2061,945513,1030704,1976217
2062,930849,1014579,1945428
2063,916146,998363,1914509
2064,901415,982073,1883488
2065,887351,966712,1854063
