cunli,adult2019,chilren2019,adult2020,chilren2020,adult2021,chilren2021,adult_diff,children_diff
嘉義市東區荖藤里,4008,889,4010,884,3996,874,-12,-15
嘉義市東區後湖里,2857,536,2813,503,2788,518,-69,-18
嘉義市東區仁義里,2451,439,2404,437,2325,424,-126,-15
嘉義市東區中庄里,2659,391,2598,380,2550,365,-109,-26
嘉義市東區頂庄里,1822,286,1776,291,1722,291,-100,5
嘉義市東區圳頭里,3239,475,3249,501,3205,493,-34,18
嘉義市東區新店里,3324,465,3269,427,3182,374,-142,-91
嘉義市東區後庄里,3143,478,3080,442,2991,420,-152,-58
嘉義市東區王田里,1692,191,1658,172,1609,186,-83,-5
嘉義市東區東川里,1325,200,1312,198,1281,186,-44,-14
嘉義市東區太平里,3515,701,3457,673,3384,665,-131,-36
嘉義市東區盧厝里,1544,300,1559,297,1554,299,10,-1
嘉義市東區鹿寮里,826,133,809,110,818,109,-8,-24
嘉義市東區長竹里,2373,366,2364,351,2287,358,-86,-8
嘉義市東區短竹里,1792,252,1764,252,1750,255,-42,3
嘉義市東區新開里,1463,231,1435,214,1406,212,-57,-19
嘉義市東區宣信里,948,136,917,130,844,116,-104,-20
嘉義市東區興南里,1157,158,1143,155,1087,140,-70,-18
嘉義市東區豐年里,950,179,898,171,885,162,-65,-17
嘉義市東區芳草里,2772,420,2755,403,2723,358,-49,-62
嘉義市東區芳安里,1636,230,1607,218,1582,208,-54,-22
嘉義市東區頂寮里,1966,324,1956,338,1910,308,-56,-16
嘉義市東區安寮里,1996,303,2002,299,1969,279,-27,-24
嘉義市東區興安里,1898,313,2168,373,2267,383,369,70
嘉義市東區興村里,3317,509,3222,502,3169,474,-148,-35
嘉義市東區興仁里,3002,471,2902,463,2806,425,-196,-46
嘉義市東區過溝里,1496,342,1411,322,1368,301,-128,-41
嘉義市東區民族里,1280,172,1234,171,1172,157,-108,-15
嘉義市東區朝陽里,1418,189,1344,192,1291,203,-127,14
嘉義市東區華南里,1406,186,1360,172,1331,160,-75,-26
嘉義市東區東興里,1263,162,1254,152,1195,152,-68,-10
嘉義市東區中山里,1370,235,1360,241,1355,218,-15,-17
嘉義市東區中央里,1526,279,1463,269,1447,281,-79,2
嘉義市東區林森里,1828,789,1819,800,1787,777,-41,-12
嘉義市東區北門里,1495,325,1466,324,1424,313,-71,-12
嘉義市東區蘭潭里,1748,230,1729,235,1729,230,-19,0
嘉義市東區文雅里,3177,584,3178,583,3129,562,-48,-22
嘉義市東區安業里,1491,180,1449,168,1400,171,-91,-9
嘉義市東區義教里,2254,372,2160,367,2114,374,-140,2
嘉義市西區香湖里,612,117,631,120,651,125,39,8
嘉義市西區湖邊里,1660,298,1612,294,1584,282,-76,-16
嘉義市西區北榮里,1875,304,1838,306,1748,288,-127,-16
嘉義市西區重興里,1570,292,1541,276,1524,283,-46,-9
嘉義市西區竹圍里,3654,558,3671,592,3670,568,16,10
嘉義市西區新厝里,3440,718,3421,689,3376,653,-64,-65
嘉義市西區保安里,2768,439,2756,426,2729,396,-39,-43
嘉義市西區北湖里,2377,413,2367,395,2378,375,1,-38
嘉義市西區下埤里,1285,165,1274,153,1290,150,5,-15
嘉義市西區竹村里,939,110,919,114,885,111,-54,1
嘉義市西區大溪里,1682,254,1684,246,1649,232,-33,-22
嘉義市西區福全里,3483,470,3471,463,3403,443,-80,-27
嘉義市西區西平里,2719,532,2688,529,2681,521,-38,-11
嘉義市西區磚󿾨里,2908,578,2890,575,2868,539,-40,-39
嘉義市西區港坪里,3019,495,2987,478,2913,462,-106,-33
嘉義市西區頭港里,1555,236,1571,231,1534,216,-21,-20
嘉義市西區劉厝里,5872,943,5853,883,5891,832,19,-111
嘉義市西區新西里,1573,276,1573,271,1526,255,-47,-21
嘉義市西區書院里,1404,188,1347,180,1310,171,-94,-17
嘉義市西區培元里,1182,256,1171,236,1156,242,-26,-14
嘉義市西區垂楊里,1492,252,1485,245,1462,245,-30,-7
嘉義市西區車店里,4843,1144,4763,1168,4678,1137,-165,-7
嘉義市西區福民里,4492,1219,4439,1192,4409,1197,-83,-22
嘉義市西區湖內里,3656,692,3622,682,3684,719,28,27
嘉義市西區美源里,2780,534,2679,508,2610,479,-170,-55
嘉義市西區育英里,1240,249,1194,250,1169,243,-71,-6
嘉義市西區致遠里,1258,265,1266,281,1248,262,-10,-3
嘉義市西區光路里,4090,870,4059,868,4072,887,-18,17
嘉義市西區翠岱里,1021,190,1002,191,989,187,-32,-3
嘉義市西區自強里,1246,247,1250,257,1246,241,0,-6
嘉義市西區永和里,1460,251,1412,228,1351,214,-109,-37
嘉義市西區新富里,1186,175,1143,158,1113,154,-73,-21
嘉義市西區文化里,1501,180,1474,186,1449,191,-52,11
嘉義市西區西榮里,1594,226,1546,235,1529,226,-65,0
嘉義市西區國華里,918,114,855,99,829,91,-89,-23
嘉義市西區番社里,935,123,906,120,889,111,-46,-12
嘉義市西區導明里,1138,139,1095,125,1033,125,-105,-14
嘉義市西區慶安里,1211,205,1171,192,1118,179,-93,-26
嘉義市西區後驛里,1686,278,1649,239,1602,209,-84,-69
嘉義市西區福安里,3679,632,3641,620,3587,589,-92,-43
嘉義市西區獅子里,2343,454,2296,443,2229,444,-114,-10
嘉義市西區紅瓦里,1338,366,1333,366,1290,339,-48,-27
嘉義市西區保福里,3153,526,3114,522,3091,516,-62,-10
嘉義市西區保生里,3563,553,3498,511,3448,495,-115,-58
嘉義市西區北新里,896,195,905,179,906,190,10,-5
