cunli,adult2019,chilren2019,adult2020,chilren2020,adult2021,chilren2021,adult_diff,children_diff
金門縣金城鎮東門里,4420,567,4286,516,4188,519,-232,-48
金門縣金城鎮西門里,8658,1163,8445,1144,8263,1112,-395,-51
金門縣金城鎮南門里,4698,618,4587,579,4470,528,-228,-90
金門縣金城鎮北門里,3534,409,3446,414,3336,410,-198,1
金門縣金城鎮古城里,3381,344,3432,338,3468,341,87,-3
金門縣金城鎮金水里,1890,143,1893,142,1855,147,-35,4
金門縣金城鎮珠沙里,2442,193,2430,193,2411,189,-31,-4
金門縣金城鎮賢庵里,4112,389,4105,387,4087,376,-25,-13
金門縣金湖鎮新市里,3579,429,3503,404,3413,362,-166,-67
金門縣金湖鎮山外里,2849,383,2862,361,2855,328,6,-55
金門縣金湖鎮正義里,2287,212,2310,207,2322,194,35,-18
金門縣金湖鎮料羅里,1812,146,1839,159,1851,157,39,11
金門縣金湖鎮瓊林里,2684,352,2653,351,2665,365,-19,13
金門縣金湖鎮新湖里,7207,940,7282,966,7276,953,69,13
金門縣金湖鎮溪湖里,1304,104,1325,107,1320,113,16,9
金門縣金湖鎮蓮庵里,1413,145,1414,133,1430,137,17,-8
金門縣金沙鎮汶沙里,4386,540,4327,502,4240,465,-146,-75
金門縣金沙鎮三山里,1613,89,1616,95,1604,93,-9,4
金門縣金沙鎮大洋里,972,76,970,78,958,80,-14,4
金門縣金沙鎮光前里,2097,168,2064,156,2023,158,-74,-10
金門縣金沙鎮何斗里,1741,130,1726,116,1727,117,-14,-13
金門縣金沙鎮西園里,1299,102,1290,97,1299,90,0,-12
金門縣金沙鎮官嶼里,1828,144,1812,145,1802,142,-26,-2
金門縣金沙鎮浦山里,2055,207,2030,202,2000,193,-55,-14
金門縣金寧鄉古寧村,2781,200,2764,205,2766,196,-15,-4
金門縣金寧鄉安美村,4124,385,4237,397,4385,382,261,-3
金門縣金寧鄉后盤村,1335,132,1346,151,1355,151,20,19
金門縣金寧鄉湖埔村,6806,674,6920,723,7041,733,235,59
金門縣金寧鄉榜林村,4644,464,4586,457,4567,458,-77,-6
金門縣金寧鄉盤山村,5885,601,5945,597,5974,617,89,16
金門縣烈嶼鄉上岐村,2406,183,2360,168,2342,171,-64,-12
金門縣烈嶼鄉上林村,1228,85,1210,76,1203,72,-25,-13
金門縣烈嶼鄉西口村,2078,150,2056,159,2030,139,-48,-11
金門縣烈嶼鄉林湖村,2921,273,2870,267,2808,242,-113,-31
金門縣烈嶼鄉黃埔村,1418,94,1410,99,1400,101,-18,7
金門縣烏坵鄉大坵村,253,23,248,25,245,27,-8,4
金門縣烏坵鄉小坵村,275,44,272,39,272,36,-3,-8
